species,Guild,source
Pheosia tremula,Moths,original
Aspitates gilvaria,Moths,original
Clostera pigra,Moths,original
Anthophora plumipes,Wild Bees,original
Cosmia trapezina,Moths,original
Aricia agestis,Butterflies,original
Syricoris lacunana,Moths,original
Celypha cespitana,Moths,original
Chelostoma florisomne,Wild Bees,original
Bombus lapidarius,Bumblebees,original
Egira conspicillaris,Moths,original
Adscita statices,Moths,original
Conistra vaccinii,Moths,original
Diaphora mendica,Moths,original
Peridea anceps,Moths,original
Hadena perplexa,Moths,original
Nyea lurideola,Moths,original
Plebicula dorylas,Butterflies,original
Everes sebrus,Butterflies,original
